entity	claims
Second_Amendment_to_the_United_States_Constitution	United States Bill of Rights||United States of America||constitutional amendment||United States of America||WikiProject Human Rights||list of amendments to the United States Constitution
Fox_News	United States cable news||specialty channel||pay television||website||United States of America||English||Category:Fox News||Fox Broadcasting Company||New York City||journalism||Fox News Talk||conservatism in the United States||Fox Corporation||right-wing||1211 Avenue of the Americas||history of Fox News||Rupert Murdoch||American English
Abdur_Rauf	
Jesus	Gospel||New Testament||The Qur’an||The Master and Margarita||Pilate and Others||Incident in Judea||The Last Temptation of Christ||Jesus Christ Superstar||Jesus Christ Superstar||Jesus Met the Woman at the Well||Would Jesus Wear a Rolex||He Never Said a Mumblin' Word||Jesus Christus, unser Heiland, der den Tod überwand||Jesus Christus||Monty Python’s Life of Brian||Miraculous catch of fish||Heaven||The Passion of the Christ||Divine Principle||Book of Mormon||The Master and Margarita||The Master and Margarita||carpentry||Christian ministry||Yeshua||Immanuel||Emmanuel||Jesus||Yeshu||Judaism||Essenes||Virgin Mary||male||Bethlehem||Nazareth||Calvary||tomb of Jesus||Church of the Holy Sepulchre||Talpiot Tomb||Garden Tomb||empty tomb||Jerusalem||crucifixion||Jesus in Islam||Yeshu||Christ Child||Jesus in Ahmadiyya Islam||Jesus in the Bahá'í Faith||Jesus in Christianity||San Salvador||historical Jesus||God the Son||Jesus in Manichaeism||Christ Jesus||deity||human biblical figure||mythical character||Quranic character||film character||human||God in Christianity||Salvator Mundi||human who may be fictional||historical character||savior||Christmas||Easter||Feasts of the Lord Jesus Christ||Category:Jesus||Joseph||God the Father||Nazareth||Capernaum||Galilee||Jewish people||Galilean dialect||Biblical Hebrew||Bible Encyclopedia of Archimandrite Nicephorus||Small Brockhaus and Efron Encyclopedic Dictionary||Explanatory Dictionary of the Living Great Russian Language||Brockhaus and Efron Encyclopedic Dictionary||The American Cyclopædia||Catholic Encyclopedia||Ottův slovník naučný||Insight of the Scriptures||Small Brockhaus and Efron Encyclopedic Dictionary||Encyclopædia Britannica||New International Encyclopedia||'Son of man' as a self-designation of Jesus||Brockhaus and Efron Encyclopedic Dictionary||Obalky knih.cz||Encyclopædia Britannica 11th edition||Medvik||The Nuttall Encyclopædia||Metropolitan Museum of Art Tagging Vocabulary||Croatian Encyclopedia||Proleksis Encyclopedia||preacher||prophet||carpenter||rabbi||thaumaturge||religious leader||healer||Messiah||preacher||teacher||intercession of saints||father of faith||tektōn||cultural depictions of Jesus||Holy Face of Jesus||Visions of Jesus and Mary||Shroud of Turin||Galilean dialect||Biblical Hebrew||Koine Greek||Christianity||God the Son||Logos||bread||wine||vinegar||brown||black hair||miracles of Jesus||prayers of Jesus||parable of Jesus||John the Baptist||Cleansing of the Temple||return from Egypt||Last Supper||triumphal entry into Jerusalem||Marriage at Cana||Christ washing the Disciples' feet||Sermon on the Mount||life of Jesus in the New Testament||sedition||blasphemy||James the Just||December 25||December 25||January 1||apocalypticism||crucifixion||asceticism||turning the other cheek||Golden Rule||Via, Veritas, Vita||tunic||himation||perizoma||shroud||swaddling clothes||crown of thorns||Adam||Abraham||David||Desposyni||heaven||Peter||Andrew the Apostle||St. James the Elder, Apostle||John the Apostle||Philip the Apostle||Bartholomew the Apostle||Thomas the Apostle||Matthew the Apostle||James, son of Alphaeus||Jude the Apostle||Simon the Zealot||Judas Iscariot||Mary Magdalene||Matthias||Galilee||wound||wound||wound||AB||charity||God as king||charity||love||faith||Antichrist||Simon of Cyrene||parable||Nativity of Jesus||Baptism of Jesus||Ministry of Jesus||Crucifixion of Jesus||Resurrection of Jesus||capital punishment||Holy Family||Wikipedia:List of articles all languages should have||Wikipedia:Vital articles/Level/4||King of Poland||Christology||Trinity||Osiris||dying-and-rising deity||atheism||Herodian Kingdom of Judea||Christ||prophet||sinless||protagonist||Template:Jesus||Jesus Christ||Jesus, Maria, José||flagellation
Jeb_Bush	George H. W. Bush||George P. Bush||Noelle Bush||John Bush, Jr.||Barbara Bush||male||United States of America||Spain||banker||politician||real estate developer||bookbinder||writer||Republican Party||University of Texas at Austin||Phillips Academy||The Kinkaid School||Governor of Florida||human||Midland||Columba Bush||Bush||Episcopal Church||Catholicism||Jeb||John||Ellis||English||Spanish||English||Category:Jeb Bush||Enterprise Florida||Coral Gables||Midland||Tanglewood||Andover||Jeb Bush presidential campaign, 2016||Immigration Wars: Forging an American Solution||Bush family||Bachelor of Arts||right-handedness||Dorothy Bush Koch||George W. Bush||Neil Bush||Marvin P. Bush||Phi Beta Kappa Society||Dr. Nathan Davis Award for Governors or Statewide Elected Officials
Chris_Coons	male||United States of America||politician||lawyer||businessperson||international forum participant||president||county executive||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||United States senator||Democratic Party||Amherst College||University of Nairobi||Yale Law School||Yale Divinity School||Tower Hill School||human||Greenwich||Christopher||Andrew||English||Washington, D.C.||Coons||nonprofit organization||Akhil Reed Amar||Presbyterianism||English||World Economic Forum Annual Meeting 2016||World Economic Forum Annual Meeting 2023
Nostradamus	Jaume de Nostredame||César de Notre-Dame||pharmacist||author||astrologer||physician writer||mathematician||physician||Saint-Rémy-de-Provence||Salon-de-Provence||Kingdom of France||human||Category:Nostradamus||Catholicism||Michel||French||Jean de Nostredame||New Encyclopedic Dictionary||Brockhaus and Efron Encyclopedic Dictionary||Small Brockhaus and Efron Encyclopedic Dictionary||Encyclopædia Britannica 11th edition||Obalky knih.cz||Medvik||The Nuttall Encyclopædia||University of Montpellier||Avignon University||cardiovascular disease||male||French||copyrights on works have expired||Nostradamus||Anne Ponsarde||Prognostication||Wikipedia:Vital articles/Level/4||natural causes
University_of_Pennsylvania	private university||research university||Colonial Colleges||private not-for-profit educational institution||university||Philadelphia||Category:University of Pennsylvania||United States of America||Ivy League||Association of American Universities||ORCID, Inc.||Digital Library Federation||Association of Research Libraries||IIIF Consortium||Scholarly Publishing and Academic Resources Coalition||Center for Research Libraries||Philadelphia Big 5||Coalition for Networked Information||Consortium of Social Science Associations||arXiv||Benjamin Franklin||Philip Syng||Robert Strettell||William Shippen||James Logan||William Shippen||Tench Francis, Sr.||Phineas Bond||Thomas Lawrence||John Inglis||William Allen||Pennsylvania Hospital||University of Pennsylvania Museum of Archaeology and Anthropology||University of Pennsylvania Press||Hospital of the University of Pennsylvania||Penn Presbyterian Medical Center||University of Pennsylvania Health System||University of Pennsylvania Libraries||Herbert D. Katz Center for Advanced Judaic Studies, University of Pennsylvania||Barbara Bates Center for The Study of the History of Nursing, University of Pennsylvania||Perelman School of Medicine at the University of Pennsylvania||Penn Center for AIDS Research||Ortner Center on Violence & Abuse in Relationships||The Wharton School||University of Pennsylvania School of Arts and Sciences||University of Pennsylvania School of Design||Portal:University of Pennsylvania||doctoral university: highest research activity||majority graduate||research doctoral: comprehensive programs, with medical/veterinary school||four-year, large, primarily residential||four-year, full-time, more selective, lower transfer-in||balanced arts & sciences/professions, high graduate coexistence||Category:University of Pennsylvania alumni||mixed-sex education||Category:University of Pennsylvania faculty||Association of American Universities||University of Pennsylvania Museum of Archaeology and Anthropology||The Agnew Clinic||Cira Centre South||College Hall||David Rittenhouse Laboratory||Fisher Fine Arts Library||Franklin Field||Houston Hall||Jacket||Meiklejohn Stadium||Meyerson Hall||WXPJ||WXPN-HD2||WXPN||WQHS Radio||Pennsylvania State University||Medvik||Louis Kahn||Wilson Eyre||Frank Miles Day||Edgar Viguers Seeler||Penn Quakers||English||Template:Penn||Harold Pender Award||Wikipedia:Vital articles/Level/4
Small_Business_Administration	Category:Small Business Administration||independent agency of the United States government||Administrator of the Small Business Administration||federal government of the United States||United States of America||United States of America||Washington, D.C.||Linda McMahon
Daily_Star_(United_Kingdom)	daily newspaper||tabloid||Richard Desmond||tabloid||United Kingdom||English||Reach plc||London||United Kingdom||Category:Daily Star||Daily Star lettuce
